,Team Name,Points
0,Atletico Madrid,"[3, 4, 7, 7, 7, 10, 13, 16, 19, 22, 25, 25]"
1,Osasuna,"[3, 3, 6, 6, 6, 7, 7, 10, 10, 13, 13, 13]"
2,Rayo Vallecano,"[3, 6, 6, 6, 9, 10, 11, 12, 13, 16, 17, 18]"
3,Real Madrid,"[3, 6, 9, 12, 15, 15, 18, 21, 24, 25, 28, 29]"
4,Valencia,"[3, 6, 6, 6, 9, 10, 10, 10, 11, 14, 15, 18]"
5,Real Betis,"[3, 4, 4, 7, 7, 8, 9, 12, 13, 14, 17, 20]"
6,Cadiz,"[3, 3, 4, 7, 7, 8, 9, 9, 9, 9, 10, 10]"
7,Girona,"[1, 4, 7, 10, 13, 16, 19, 19, 22, 25, 28, 31]"
8,Real Sociedad,"[1, 2, 3, 6, 6, 9, 12, 15, 15, 18, 19, 19]"
9,Las Palmas,"[1, 1, 2, 2, 2, 5, 5, 8, 11, 11, 14, 17]"
10,Mallorca,"[1, 1, 1, 2, 5, 5, 6, 7, 8, 8, 9, 9]"
11,Barcelona,"[1, 4, 7, 10, 13, 16, 17, 20, 21, 24, 24, 27]"
12,Getafe,"[1, 1, 4, 4, 7, 7, 8, 9, 10, 11, 12, 15]"
13,Villarreal,"[0, 3, 3, 3, 6, 7, 7, 8, 8, 9, 12, 12]"
14,Sevilla,"[0, 0, 0, 0, 3, 4, 7, 7, 8, 9, 10, 11]"
15,Alaves,"[0, 3, 3, 6, 6, 6, 7, 7, 8, 9, 9, 12]"
16,Granada CF,"[0, 0, 3, 3, 3, 3, 4, 5, 6, 6, 6, 6]"
17,Athletic Club,"[0, 3, 6, 7, 10, 13, 14, 14, 17, 17, 18, 21]"
18,Celta Vigo,"[0, 1, 1, 4, 4, 4, 5, 5, 6, 6, 6, 7]"
19,Almeria,"[0, 0, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3]"
