,Team Name,Points
0,Barcelona,"[3, 6, 9, 12, 13, 13, 13, 14, 17, 17, 20, 20, 23, 24, 27, 28, 31, 34, 37, 40, 43, 46, 49, 50, 53, 56, 59, 62, 65, 65, 68, 71, 71, 74, 75, 76]"
1,Valencia,"[3, 3, 4, 7, 7, 7, 7, 8, 11, 12, 12, 13, 14, 15, 15, 15, 16, 19, 20, 20, 23, 24, 24, 27, 27, 30, 30, 33, 33, 34, 34, 35, 36, 36, 39, 39]"
2,Real Madrid,"[3, 4, 7, 10, 13, 13, 16, 19, 19, 20, 20, 23, 26, 29, 32, 33, 36, 37, 40, 43, 43, 46, 49, 52, 53, 54, 57, 60, 63, 66, 69, 70, 71, 74, 75, 78]"
3,Atletico Madrid,"[3, 4, 7, 8, 9, 12, 15, 18, 21, 24, 27, 30, 30, 33, 36, 39, 42, 45, 48, 51, 54, 55, 58, 58, 61, 62, 63, 66, 66, 67, 70, 70, 73, 76, 77, 80]"
4,Osasuna,"[3, 3, 3, 3, 6, 7, 10, 10, 10, 11, 11, 11, 11, 11, 12, 13, 14, 15, 16, 19, 19, 22, 25, 25, 28, 28, 29, 30, 31, 34, 37, 37, 40, 40, 41, 44]"
5,Granada CF,"[3, 6, 6, 9, 10, 13, 16, 17, 17, 17, 17, 18, 21, 24, 24, 27, 27, 27, 28, 28, 29, 30, 30, 30, 33, 33, 36, 36, 36, 39, 42, 42, 45, 45, 45, 45]"
6,Real Betis,"[3, 6, 6, 6, 9, 9, 9, 12, 12, 12, 12, 15, 16, 16, 19, 19, 20, 23, 26, 27, 30, 30, 33, 36, 39, 42, 42, 45, 46, 47, 48, 49, 50, 51, 54, 55]"
7,Valladolid,"[1, 1, 2, 2, 2, 3, 3, 3, 6, 9, 10, 10, 13, 14, 14, 15, 18, 18, 19, 20, 20, 20, 21, 21, 22, 25, 26, 27, 27, 27, 28, 29, 30, 31, 31, 31]"
8,Real Sociedad,"[1, 2, 5, 5, 8, 11, 14, 17, 20, 23, 24, 25, 26, 26, 26, 29, 30, 30, 30, 31, 32, 35, 38, 41, 42, 45, 45, 45, 46, 47, 50, 53, 53, 53, 56, 56]"
9,Villarreal,"[1, 4, 4, 7, 8, 11, 12, 15, 18, 19, 20, 21, 22, 25, 26, 26, 29, 32, 33, 34, 35, 36, 36, 37, 37, 37, 40, 43, 46, 46, 46, 46, 49, 52, 52, 55]"
10,Huesca,"[1, 1, 2, 3, 4, 5, 5, 5, 6, 7, 7, 8, 11, 11, 12, 12, 12, 12, 12, 13, 16, 16, 16, 19, 20, 20, 20, 21, 24, 27, 27, 27, 27, 30, 30, 33]"
11,Celta Vigo,"[1, 4, 5, 5, 5, 5, 6, 6, 7, 7, 10, 13, 16, 19, 20, 23, 23, 23, 23, 24, 25, 26, 29, 29, 30, 33, 34, 34, 37, 37, 37, 40, 41, 44, 47, 50]"
12,Eibar,"[1, 1, 1, 1, 4, 5, 8, 8, 9, 10, 13, 14, 15, 15, 15, 16, 19, 19, 19, 20, 20, 20, 21, 21, 22, 22, 22, 23, 23, 23, 23, 23, 23, 26, 29, 30]"
13,Alaves,"[0, 0, 1, 1, 4, 4, 7, 8, 9, 10, 13, 14, 14, 14, 17, 18, 18, 18, 18, 18, 19, 22, 22, 22, 22, 22, 23, 23, 23, 24, 27, 28, 31, 31, 32, 35]"
14,Levante,"[0, 1, 4, 4, 4, 4, 5, 6, 7, 8, 9, 12, 12, 15, 16, 19, 19, 22, 23, 24, 27, 28, 28, 31, 32, 32, 35, 35, 35, 38, 38, 38, 38, 38, 39, 40]"
15,Sevilla,"[0, 3, 6, 9, 10, 10, 10, 10, 13, 16, 19, 19, 22, 23, 26, 29, 30, 33, 36, 39, 42, 45, 48, 51, 51, 51, 54, 55, 58, 61, 64, 67, 70, 70, 71, 74]"
16,Athletic Club,"[0, 0, 3, 3, 3, 6, 6, 9, 9, 12, 13, 13, 14, 17, 18, 18, 21, 21, 21, 24, 24, 25, 28, 29, 30, 33, 34, 35, 36, 37, 38, 41, 42, 45, 46, 46]"
17,Cadiz,"[0, 3, 3, 6, 7, 10, 11, 14, 14, 14, 15, 18, 18, 18, 18, 19, 20, 23, 24, 24, 24, 24, 24, 25, 25, 28, 29, 29, 32, 35, 35, 36, 37, 40, 43, 43]"
18,Getafe,"[0, 3, 4, 7, 7, 10, 10, 11, 11, 12, 13, 13, 13, 16, 17, 17, 17, 20, 23, 23, 24, 24, 24, 24, 27, 27, 28, 29, 30, 30, 30, 33, 34, 34, 34, 34]"
19,Elche,"[0, 0, 0, 3, 4, 7, 10, 10, 11, 12, 13, 14, 14, 14, 15, 16, 16, 16, 17, 17, 17, 18, 18, 21, 21, 24, 24, 25, 26, 26, 27, 30, 30, 30, 30, 30]"
