,Team Name,Points
0,Real Madrid,"[3, 4, 7, 10, 13, 16, 17, 17, 20, 23, 24, 27, 30, 33, 36, 39, 42, 43, 43, 46, 49, 50, 53, 54, 57, 60, 63, 66, 66, 69, 72, 75, 78, 81, 81, 84, 85, 86]"
1,Sevilla,"[3, 6, 7, 8, 9, 12, 15, 15, 18, 21, 22, 25, 28, 29, 29, 32, 35, 38, 41, 44, 45, 46, 47, 50, 51, 54, 55, 56, 57, 57, 60, 60, 63, 64, 65, 66, 67, 70]"
2,Barcelona,"[3, 4, 7, 8, 9, 10, 13, 13, 16, 16, 16, 17, 18, 21, 24, 24, 25, 28, 31, 32, 32, 35, 38, 39, 42, 45, 48, 51, 54, 57, 60, 60, 63, 66, 69, 72, 73, 73]"
3,Atletico Madrid,"[3, 6, 7, 10, 11, 14, 14, 17, 17, 18, 19, 22, 23, 26, 29, 29, 29, 29, 32, 33, 33, 36, 36, 39, 42, 45, 48, 51, 54, 57, 57, 60, 61, 61, 64, 67, 68, 71]"
4,Valencia,"[3, 4, 7, 10, 10, 10, 11, 12, 12, 13, 13, 16, 17, 18, 19, 22, 25, 28, 28, 28, 29, 29, 30, 30, 30, 33, 36, 37, 40, 41, 42, 42, 42, 43, 44, 44, 45, 48]"
5,Real Betis,"[1, 2, 2, 5, 6, 9, 12, 12, 15, 18, 21, 21, 21, 24, 27, 30, 33, 33, 33, 34, 37, 40, 40, 43, 46, 46, 46, 49, 50, 53, 56, 57, 57, 58, 58, 61, 64, 65]"
6,Mallorca,"[1, 4, 7, 7, 8, 8, 8, 11, 11, 12, 13, 14, 15, 15, 16, 19, 20, 20, 20, 20, 20, 20, 23, 26, 26, 26, 26, 26, 26, 26, 29, 29, 32, 32, 32, 33, 36, 39]"
7,Levante,"[1, 2, 2, 3, 4, 4, 4, 4, 5, 5, 6, 6, 6, 7, 7, 8, 8, 8, 8, 11, 14, 14, 14, 14, 15, 18, 18, 19, 19, 22, 22, 25, 25, 26, 29, 29, 32, 35]"
8,Cadiz,"[1, 2, 2, 2, 5, 6, 6, 7, 7, 7, 8, 9, 12, 12, 12, 12, 13, 14, 14, 14, 15, 18, 18, 19, 20, 21, 24, 24, 27, 28, 28, 31, 31, 32, 35, 35, 36, 39]"
9,Elche,"[1, 1, 2, 5, 6, 6, 6, 9, 9, 10, 10, 10, 11, 11, 12, 15, 15, 15, 16, 19, 22, 23, 26, 26, 29, 29, 29, 32, 32, 32, 32, 35, 38, 39, 39, 39, 39, 42]"
10,Villarreal,"[1, 2, 3, 6, 7, 10, 11, 14, 14, 14, 15, 15, 18, 19, 19, 19, 22, 25, 28, 29, 29, 32, 35, 36, 39, 42, 42, 45, 45, 45, 46, 49, 52, 52, 53, 56, 56, 59]"
11,Espanyol,"[1, 2, 2, 2, 3, 6, 6, 9, 12, 13, 14, 14, 17, 17, 20, 20, 23, 23, 26, 26, 27, 27, 27, 28, 29, 29, 32, 33, 36, 36, 39, 39, 39, 39, 40, 40, 41, 42]"
12,Athletic Club,"[1, 2, 5, 8, 9, 9, 10, 13, 13, 16, 17, 18, 18, 19, 20, 21, 21, 24, 27, 28, 28, 31, 34, 34, 37, 37, 40, 40, 41, 44, 45, 45, 48, 51, 52, 52, 55, 55]"
13,Osasuna,"[1, 2, 5, 5, 8, 8, 11, 14, 17, 18, 19, 19, 19, 19, 20, 21, 22, 22, 22, 25, 25, 28, 29, 32, 32, 32, 35, 35, 38, 38, 41, 44, 44, 45, 46, 47, 47, 47]"
14,Granada CF,"[1, 2, 2, 2, 3, 3, 3, 6, 9, 10, 11, 14, 14, 14, 15, 18, 19, 22, 23, 24, 24, 24, 24, 24, 24, 25, 25, 25, 28, 29, 29, 29, 30, 31, 34, 37, 37, 38]"
15,Celta Vigo,"[0, 1, 1, 1, 1, 4, 7, 7, 7, 10, 10, 11, 12, 13, 16, 16, 17, 20, 23, 23, 26, 27, 30, 31, 32, 32, 35, 35, 36, 36, 36, 39, 39, 40, 43, 43, 46, 46]"
16,Getafe,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 6, 6, 9, 10, 11, 12, 15, 18, 18, 21, 22, 25, 25, 26, 27, 27, 28, 29, 32, 32, 32, 35, 36, 37, 38, 39, 39]"
17,Real Sociedad,"[0, 3, 6, 9, 10, 13, 16, 17, 20, 21, 24, 25, 28, 29, 29, 29, 29, 29, 30, 33, 36, 37, 38, 41, 41, 44, 44, 47, 48, 51, 54, 55, 55, 56, 56, 59, 62, 62]"
18,Alaves,"[0, 0, 0, 0, 0, 0, 3, 3, 3, 6, 9, 10, 13, 14, 14, 14, 15, 15, 16, 17, 17, 17, 17, 20, 20, 21, 22, 22, 22, 22, 22, 25, 25, 28, 28, 31, 31, 31]"
19,Rayo Vallecano,"[0, 0, 3, 4, 7, 10, 13, 13, 16, 16, 19, 20, 20, 23, 24, 27, 27, 30, 30, 31, 34, 34, 34, 34, 34, 34, 34, 35, 35, 36, 37, 37, 40, 41, 42, 42, 42, 42]"
